COUNTRY_ANAME,ISO3,COUNTRY_ENAME,Region
جنوب افريقيا,ZAF,South Africa,SSA
إسبانيا,ESP,Spain,WE/EU
سريلانكا,LKA,Sri Lanka,AP
السودان,SDN,Sudan,SSA
سورينام,SUR,Suriname,AME
السويد,SWE,Sweden,WE/EU
سويسرا,CHE,Switzerland,WE/EU
سوريا,SYR,Syria,MENA
طاجكستان,TJK,Tajikistan,ECA
تنزانيا,TZA,Tanzania,SSA
تايلاند,THA,Thailand,AP
توجو,TGO,Togo,SSA
تركيا,TUR,Turkey,ECA
تركمانستان,TKM,Turkmenistan,ECA
اوغندا,UGA,Uganda,SSA
اوكرانيا,UKR,Ukraine,ECA
الإمارات,ARE,United Arab Emirates,MENA
المملكة المتحدة,GBR,United Kingdom,WE/EU
أمريكا,USA,United States of America,AME
أرجواي,URY,Uruguay,AME
فانواتو,VUT,Vanuatu,AP
فنزويلا,VEN,Venezuela,AME
فيتنام,VNM,Vietnam,AP
اليمن,YEM,Yemen,MENA
زامبيا,ZMB,Zambia,SSA
الرأس الأخضر,CPV,Cabo Verde,SSA
تيمور الشرقية,TLS,Timor-Leste,AP
كوسوفو,KSV,Kosovo,ECA
بولندا (بولونيا),POL,Poland,WE/EU
فلسطين,PSE,Palestine,MENA
بورتوريكو,PRI,Puerto Rico,AME
سان مارينو,SMR,San Marino ,WE/EU
ماكاو,MAC,Macao,AP
ليختنشتاين,LIE,Liechtenstein,WE/EU
أروبا,ABW,Aruba,AME
موناكو,MCO,Monaco,WE/EU
